Animal,Parent Class,Class,Sub-Class,Young,Generic name
Abalone,Sea animal,Sea animal / Shellfish,Shellfish / Abalone / Clam / Mussel / Scallop,,
Acyrthosiphon pisum Aphid,Insect,Insect,Ant / Termite / Aphid,,
Aedes aegypti Mosquito,Insect,Insect,Mosquito / Crane fly,,
Aedes aegypti Mosquito Larva,Insect,Insect / Larva / Pupa,Larva / Pupa,Yes,
Aesculapian Snake,Reptile,Reptile / Snake,Snake / Cobra / Viper / Python,,
African Bullfrog,Amphibian,Amphibian,Frog / Toad,,
African Civet,Mammal,Mammal,Cat / Lion / Tiger / Cheetah / Leopard / Cheetah / Cougar / Civet cat,,
African Clawed Toad,Amphibian,Amphibian,Frog / Toad,,
African Finfoot,Bird,Bird,Water bird / Duck / Swan / Goose,,
African Golden Cat,Mammal,Mammal,Cat / Lion / Tiger / Cheetah / Leopard / Cheetah / Cougar / Civet cat,,
African Oryx,Mammal,Mammal,Deer / Antelope / Caribou / Moose,,
African Painted Dog,Mammal,Mammal,Dog / Wolf / Fox / Coyote / Jackal,,
African Penguin,Bird,Bird / Penguin,Penguin,,
African Wild Boar,Mammal,Mammal,Pig / Boar / Hog,,
African Wild Dog,Mammal,Mammal,Dog / Wolf / Fox / Coyote / Jackal,,
Agouti,Mammal,Mammal,Rodent / Rat / Mouse / Hamster / Guinea pig / Pika,,
Agraulis vanilla Caterpillar,Insect,Insect / Caterpillar / Worm,Caterpillar / Centipede / Millipede,Yes,
Alauda arvensis Bird,Bird,Bird,Bird,,
Albatross,Bird,Bird,Bird,,
Aldabrachelys gigantea Tortoise,Reptile,Reptile / Turtle,Tortoise / Turtle,,
Alfalfa Leafcutting Bee,Insect,Insect,Bee / Wasp,,
Alligator,Reptile,Reptile,Crocodile / Alligator,,
Alpaca,Mammal,Mammal,Alpaca / Camel,,
Alpine Newt,Amphibian,Amphibian,Salamander / Newt,,
Altantic Stingray,Sea animal,Sea animal / Stingray,Stingray,,
Amazon Milk Frog,Amphibian,Amphibian,Frog / Toad,,
Anartia jatrophae,Insect,Insect,Butterfly / Moth,,
Anas crecca Bird,Bird,Bird,Water bird / Duck / Swan / Goose,,
Anas platyrhynchos Bird,Bird,Bird,Bird,,
Anisolabis maritima,Insect,Insect,Earwig,,
Annulated Tree Boa,Reptile,Reptile / Snake,Snake / Cobra / Viper / Python,,
Anole Lizard,Reptile,Reptile,Lizard / Gecko / Draco / Iguana / Chamelon,,
Anopheles gambiae mosquito,Insect,Insect,Mosquito / Crane fly,,
Ant,Insect,Insect,Ant / Termite / Aphid,,
Anteater,Mammal,Mammal,Anteater,,
Antelope,Mammal,Mammal,Deer / Antelope / Caribou / Moose,,
Anthus pratensis Bird,Bird,Bird,Bird,,
Antipaluria urichi webspinner,Insect,Insect,Insect,,
Aphid,Insect,Insect,Ant / Termite / Aphid,,
Aphidius ervi Parasitoid Wasp,Insect,Insect,Bee / Wasp,,
Aphis fabae Alates,Insect,Insect,Ant / Termite / Aphid,,
Aphis fabae Aphid,Insect,Insect,Ant / Termite / Aphid,,
Apis mellifera Honey Bee,Insect,Insect,Bee / Wasp,,
Araneus diadematus Spider,Insect,Insect / Spider,Spider / Tarantula,,
Archer Fish,Fish,Fish,Fish,,
Archispirostreptus gigas Giant African Millipede,Insect,Insect / Caterpillar / Worm,Caterpillar / Centipede / Millipede,,
Ardea alba Egret,Bird,Bird,Bird,,
Ardeotis kori Bird,Bird,Bird,Bird,,
Argentine Ant,Insect,Insect,Ant / Termite / Aphid,,
Arizona Bark Scorpion,Insect,Insect,Scorpion,,
Ashe's Spitting Cobra,Reptile,Reptile / Snake,Snake / Cobra / Viper / Python,,
Asian Glossy Starling Bird,Bird,Bird,Bird,,
Asian Lion,Mammal,Mammal,Cat / Lion / Tiger / Cheetah / Leopard / Cheetah / Cougar / Civet cat,,
Asian Small-clawed Otter,Mammal,Mammal,Otter,,
Asian Tapir,Mammal,Mammal,Tapir,,
Asiatic Golden Cat,Mammal,Mammal,Cat / Lion / Tiger / Cheetah / Leopard / Cheetah / Cougar / Civet cat,,
Atheris hispida Viper,Reptile,Reptile / Snake,Snake / Cobra / Viper / Python,,
Atheris nitschei Viper,Reptile,Reptile / Snake,Snake / Cobra / Viper / Python,,
Atheris squamigera,Reptile,Reptile / Snake,Snake / Cobra / Viper / Python,,
Atlantic Blue Tang Fish,Fish,Fish,Fish,,
Australian Bowerbird,Bird,Bird,Bird,,
Australian King Parrot,Bird,Bird,Bird,,
Avicularia Spider,Insect,Insect / Spider,Spider / Tarantula,,
Azure Tit Bird,Bird,Bird,Bird,,
Babirusa,Mammal,Mammal,Pig / Boar / Hog,,
Baboon,Mammal,Mammal,Primate / Monkey / Macaque / Baboon / Chimpanzee / Gorilla / Orangutan / Langur,,
Backswimmer,Insect,Insect,Water Insect,,
Badger,Mammal,Mammal,Badger,,
Bald Eagle,Bird,Bird,Bird,,
Banana Slug,Insect,Insect / Snail,Snail / Slug / Nudibranch,,
Banded Rubber Frog,Amphibian,Amphibian,Frog / Toad,,
Banded Woodpecker,Bird,Bird,Bird,,
Bare-Faced Curassow,Bird,Bird,Chicken / Curassow / Turkey,,
Barking Deer,Mammal,Mammal,Deer / Antelope / Caribou / Moose,,
Barracuda Fish,Fish,Fish,Fish,,
Barramundi Fish,Fish,Fish,Fish,,
Barred Warbler Bird,Bird,Bird,Bird,,
Basilisk Lizard,Reptile,Reptile,Lizard / Gecko / Draco / Iguana / Chamelon,,
Bat,Mammal,Mammal / Bat,Bat,,
Battus philenor hirsuta,Insect,Insect,Butterfly / Moth,,
Battus philenor hirsuta Caterpillar,Insect,Insect / Caterpillar / Worm,Caterpillar / Centipede / Millipede,Yes,
Bavayia sp. Gecko,Reptile,Reptile,Lizard / Gecko / Draco / Iguana / Chamelon,,
Bay's Duiker,Mammal,Mammal,Deer / Antelope / Caribou / Moose,,
Bearded Pig,Mammal,Mammal,Pig / Boar / Hog,,
Beaver,Mammal,Mammal,Beaver,,
Bee,Insect,Insect,Bee / Wasp,,
Beetle,Insect,Insect,Beetle,,
Bengal Tiger,Mammal,Mammal,Cat / Lion / Tiger / Cheetah / Leopard / Cheetah / Cougar / Civet cat,,
Big Headed Ant,Insect,Insect,Ant / Termite / Aphid,,
Bighorn Sheep,Mammal,Mammal,Goat / Sheep / Ibex,,
Binturong,Mammal,Mammal,Cat / Lion / Tiger / Cheetah / Leopard / Cheetah / Cougar / Civet cat,,
Bird,Bird,Bird,Bird,,Yes
Bison,Mammal,Mammal,Cow / Buffalo / Bison,,
Black Bean Aphid,Insect,Insect,Ant / Termite / Aphid,,
Black Bearded Draco,Reptile,Reptile,Lizard / Gecko / Draco / Iguana / Chamelon,,
Black Click Beetle,Insect,Insect,Beetle,,
Black Duiker,Mammal,Mammal,Deer / Antelope / Caribou / Moose,,
Black Durgon Fish,Fish,Fish,Fish,,
Black Grouse,Bird,Bird,Chicken / Curassow / Turkey,,
Black Headed Python,Reptile,Reptile / Snake,Snake / Cobra / Viper / Python,,
Black Mamba,Reptile,Reptile / Snake,Snake / Cobra / Viper / Python,,
Black Necked Spitting Cobra,Reptile,Reptile / Snake,Snake / Cobra / Viper / Python,,
Black Stork,Bird,Bird,Water bird / Duck / Swan / Goose,,
Black Swan,Bird,Bird,Water bird / Duck / Swan / Goose,,
Black-Winged Stilt,Bird,Bird,Bird,,
Blackbird,Bird,Bird,Bird,,
Blue Dasher Dragonfly,Insect,Insect,Dragonfly / Mayfly / Damselfly,,
Blue Orchard Bee,Insect,Insect,Bee / Wasp,,
Blue Orchard Bee Larva,Insect,Insect / Larva / Pupa,Larva / Pupa,Yes,
Blue Poison Dart Frog,Amphibian,Amphibian,Frog / Toad,,
Blue Whale,Fish,Fish / Large swimmer,Whale,,
Blue-Ringed Octopus,Sea animal,Sea animal / Octopus,Octopus / Squid / Cuttlefish,,
Bluehead Wrasse Fish,Fish,Fish,Fish,,
Bluethroat,Bird,Bird,Bird,,
Boa,Reptile,Reptile / Snake,Snake / Cobra / Viper / Python,,
Boar,Mammal,Mammal,Pig / Boar / Hog,,
Bogong Moth,Insect,Insect,Butterfly / Moth,,
Bombardier Beetle,Insect,Insect,Beetle,,
Bongo,Mammal,Mammal,Deer / Antelope / Caribou / Moose,,
Bordered Mantis,Insect,Insect,Cricket / Grasshopper / Praying mantis / Leafhopper,,
Boreal Owl,Bird,Bird,Bird,,
Bornean Orangutan,Mammal,Mammal,Primate / Monkey / Macaque / Baboon / Chimpanzee / Gorilla / Orangutan / Langur,,
Botaurus Stellaris Bird,Bird,Bird,Bird,,
Bothriechis,Reptile,Reptile / Snake,Snake / Cobra / Viper / Python,,
Bothrops Asper,Reptile,Reptile / Snake,Snake / Cobra / Viper / Python,,
Bottlenose Dolphin,Fish,Fish / Large swimmer,Dolphin / Orca,,
Box Jellyfish,Sea animal,Sea animal / Jellyfish,Jellyfish / Ctenophore,,
Boxer Crab,Sea animal,Sea animal / Crab,Crab,,
Brittle Star,Sea animal,Sea animal / Sea star,Sea star,,
Brooke's Duikers,Mammal,Mammal,Deer / Antelope / Caribou / Moose,,
Brown Garden Snail,Insect,Insect / Snail,Snail / Slug / Nudibranch,,
Brown Hare,Mammal,Mammal,Hare / Rabbit,,
Brown-banded cockroach,Insect,Insect,Cockroach,,
Buffalo,Mammal,Mammal,Cow / Buffalo / Bison,,
Bull shark,Fish,Fish / Large swimmer,Shark,,
Bullfinch,Bird,Bird,Bird,,
Bullfrog,Amphibian,Amphibian,Frog / Toad,,
Bullfrog Tadpole,Amphibian,Amphibian / Tadpole,Tadpole,,
Bumblebee,Insect,Insect,Bee / Wasp,,
Bush Stone-Curlew,Bird,Bird,Bird,,
Bushmaster Snake,Reptile,Reptile / Snake,Snake / Cobra / Viper / Python,,
Butterfly,Insect,Insect,Butterfly / Moth,,
Butterfly Fish,Fish,Fish,Fish,,
Cabbage White Caterpillar,Insect,Insect / Caterpillar / Worm,Caterpillar / Centipede / Millipede,Yes,
Caddisfly,Insect,Insect,Caddisfly,,
Caddisfly Larva,Insect,Insect / Larva / Pupa,Larva / Pupa,Yes,
Calamari,Sea animal,Sea animal / Octopus,Octopus / Squid / Cuttlefish,,
Calidris apina Bird,Bird,Bird,Bird,,
Calidris minuta Bird,Bird,Bird,Bird,,
California Newt,Amphibian,Amphibian,Salamander / Newt,,
California Newt Young,Amphibian,Amphibian,Salamander / Newt,Yes,
California Oak Moth,Insect,Insect,Butterfly / Moth,,
California Oak Moth Larva,Insect,Insect / Larva / Pupa,Larva / Pupa,Yes,
California Oak Moth Pupa,Insect,Insect,Pupa,Yes,
California Rock Crab,Sea animal,Sea animal / Crab,Crab,,
California Sea Lion,Sea animal,Sea animal / Seal,Seal / Walrus,,
Camberwell Beauty Butterfly,Insect,Insect,Butterfly / Moth,,
Camel,Mammal,Mammal,Alpaca / Camel,,
Campbell's Monkey,Mammal,Mammal,Primate / Monkey / Macaque / Baboon / Chimpanzee / Gorilla / Orangutan / Langur,,
Cape Buffalo,Mammal,Mammal,Cow / Buffalo / Bison,,
Capuchin Monkey,Mammal,Mammal,Primate / Monkey / Macaque / Baboon / Chimpanzee / Gorilla / Orangutan / Langur,,
Carcharhinus galapagensis,Fish,Fish / Large swimmer,Shark,,
Carcharhinus limbatus,Fish,Fish / Large swimmer,Shark,,
Carcharias taurus,Fish,Fish / Large swimmer,Shark,,
Carcharodon carcharias,Fish,Fish / Large swimmer,Shark,,
Cardinal Fish,Fish,Fish,Fish,,
Caretta caretta Turtle,Reptile,Reptile / Turtle,Tortoise / Turtle,,
Caribou,Mammal,Mammal,Deer / Antelope / Caribou / Moose,,
Carolina Duck,Bird,Bird,Water bird / Duck / Swan / Goose,,
Carribean Rock Mantis Shrimp,Sea animal,Sea animal / Prawn,Prawn / Shrimp / Lobster,,
