video_path,action,species,parent_class
AnimalKingdomDataset\Attacking\Buffalo\DIUCTXDO1.mp4,Attacking,Buffalo,mammal
AnimalKingdomDataset\Attacking\Buffalo\NYNNPXDO0.mp4,Attacking,Buffalo,mammal
AnimalKingdomDataset\Attacking\Buffalo\WEMWSXDO1.mp4,Attacking,Buffalo,mammal
AnimalKingdomDataset\Attacking\Cheetah\BVOZWUDX1.mp4,Attacking,Cheetah,mammal
AnimalKingdomDataset\Attacking\Cheetah\GZTAMICI2.mp4,Attacking,Cheetah,mammal
AnimalKingdomDataset\Attacking\Cheetah\KOYEMUDX1.mp4,Attacking,Cheetah,mammal
AnimalKingdomDataset\Attacking\Cheetah\PJCNAICI2.mp4,Attacking,Cheetah,mammal
AnimalKingdomDataset\Attacking\Cheetah\QISNEUDX1.mp4,Attacking,Cheetah,mammal
AnimalKingdomDataset\Attacking\Cheetah\TQDCMUDX2.mp4,Attacking,Cheetah,mammal
AnimalKingdomDataset\Attacking\Cheetah\UWROFICI1.mp4,Attacking,Cheetah,mammal
AnimalKingdomDataset\Attacking\Cheetah\XWEEOUDX1.mp4,Attacking,Cheetah,mammal
AnimalKingdomDataset\Attacking\Dog\CUFGUGCS6.mp4,Attacking,Dog,mammal
AnimalKingdomDataset\Attacking\Dog\GNCBFXGD2.mp4,Attacking,Dog,mammal
AnimalKingdomDataset\Attacking\Dog\TVAUKXGD3.mp4,Attacking,Dog,mammal
AnimalKingdomDataset\Attacking\Elephant\KMSEJXDO1.mp4,Attacking,Elephant,mammal
AnimalKingdomDataset\Attacking\Giraffe\AUIKHGCS1.mp4,Attacking,Giraffe,mammal
AnimalKingdomDataset\Attacking\Giraffe\NSLAXXDO1.mp4,Attacking,Giraffe,mammal
AnimalKingdomDataset\Attacking\Giraffe\POWOQGCS1.mp4,Attacking,Giraffe,mammal
AnimalKingdomDataset\Attacking\Giraffe\RSBQFGCS1.mp4,Attacking,Giraffe,mammal
AnimalKingdomDataset\Attacking\Giraffe\RSMRRGCS1.mp4,Attacking,Giraffe,mammal
AnimalKingdomDataset\Attacking\Giraffe\ZCBOLGCS2.mp4,Attacking,Giraffe,mammal
AnimalKingdomDataset\Attacking\Goat\DYEKGKBS1.mp4,Attacking,Goat,mammal
AnimalKingdomDataset\Attacking\Goat\SKJVUJKU0.mp4,Attacking,Goat,mammal
AnimalKingdomDataset\Attacking\Horse\NKXGFXGD0.mp4,Attacking,Horse,mammal
AnimalKingdomDataset\Attacking\Horse\USHBBXGD0.mp4,Attacking,Horse,mammal
AnimalKingdomDataset\Attacking\Hyena\CFFFYNPO1.mp4,Attacking,Hyena,mammal
AnimalKingdomDataset\Attacking\Hyena\EKZNANPO2.mp4,Attacking,Hyena,mammal
AnimalKingdomDataset\Attacking\Hyena\FSRCINPO4.mp4,Attacking,Hyena,mammal
AnimalKingdomDataset\Attacking\Hyena\HONGANPO4.mp4,Attacking,Hyena,mammal
AnimalKingdomDataset\Attacking\Hyena\JHOXWNPO1.mp4,Attacking,Hyena,mammal
AnimalKingdomDataset\Attacking\Hyena\KHROYXDO2.mp4,Attacking,Hyena,mammal
AnimalKingdomDataset\Attacking\Hyena\LSLBINPO2.mp4,Attacking,Hyena,mammal
AnimalKingdomDataset\Attacking\Hyena\OWYHSXDO2.mp4,Attacking,Hyena,mammal
AnimalKingdomDataset\Attacking\Hyena\SMPJQNPO1.mp4,Attacking,Hyena,mammal
AnimalKingdomDataset\Attacking\Leopard\AWJEUGCS2.mp4,Attacking,Leopard,mammal
AnimalKingdomDataset\Attacking\Leopard\CUFGUGCS7.mp4,Attacking,Leopard,mammal
AnimalKingdomDataset\Attacking\Leopard\MAFUQXDO0.mp4,Attacking,Leopard,mammal
AnimalKingdomDataset\Attacking\Leopard\ORBGIGCS1.mp4,Attacking,Leopard,mammal
AnimalKingdomDataset\Attacking\Leopard\QOZTQGCS1.mp4,Attacking,Leopard,mammal
AnimalKingdomDataset\Attacking\Leopard\YOOZIGCS0.mp4,Attacking,Leopard,mammal
AnimalKingdomDataset\Attacking\Lion\ANMDZGCS2.mp4,Attacking,Lion,mammal
AnimalKingdomDataset\Attacking\Lion\BAQXAGCS1.mp4,Attacking,Lion,mammal
AnimalKingdomDataset\Attacking\Lion\BBVUNXDO1.mp4,Attacking,Lion,mammal
AnimalKingdomDataset\Attacking\Lion\BGSRHXDO1.mp4,Attacking,Lion,mammal
AnimalKingdomDataset\Attacking\Lion\BIVEQXDO2.mp4,Attacking,Lion,mammal
AnimalKingdomDataset\Attacking\Lion\BJVSVGCS2.mp4,Attacking,Lion,mammal
