S/N,video_id,type,labels,list_animal_action,list_animal,list_animal_parent_class
1,AAACXZTV,train,"2,40","[('Common Crane', 'Attending'), ('Common Crane', 'Eating')]","['Common Crane', 'Common Crane']",['Bird']
2,AABCQPTK,train,"2,15","[('Singing Nightingale', 'Attending'), ('Singing Nightingale', 'Chirping')]","['Singing Nightingale', 'Singing Nightingale']",['Bird']
3,AABKMGHE,train,78,"[('Snake', 'Moving')]",['Snake'],['Reptile']
4,AACJGIQR,train,"102,1,39,8,120,97","[('Mongoose', 'Biting'), ('Black Mamba', 'Sensing'), ('Mongoose', 'Dying'), ('Mongoose', 'Attacking'), ('Mongoose', 'Retreating'), ('Black Mamba', 'Dying'), ('Mongoose', 'Sensing'), ('Black Mamba', 'Struggling')]","['Mongoose', 'Black Mamba', 'Mongoose', 'Mongoose', 'Mongoose', 'Black Mamba', 'Mongoose', 'Black Mamba']","['Reptile', 'Mammal']"
5,AACKOHGA,train,"2,68,133,116","[('Meerkat', 'Walking'), ('Meerkat', 'Attending'), ('Meerkat', 'Keeping still'), ('Meerkat', 'Standing')]","['Meerkat', 'Meerkat', 'Meerkat', 'Meerkat']",['Mammal']
6,AACXOPTK,train,"2,68,102,15","[('Singing Nightingale', 'Keeping still'), ('Singing Nightingale', 'Chirping'), ('Singing Nightingale', 'Sensing'), ('Singing Nightingale', 'Attending')]","['Singing Nightingale', 'Singing Nightingale', 'Singing Nightingale', 'Singing Nightingale']",['Bird']
7,AADBUVKA,train,"2,133,102,15","[('Common Quail', 'Attending'), ('Common Quail', 'Chirping'), ('Common Quail', 'Sensing'), ('Common Quail', 'Walking')]","['Common Quail', 'Common Quail', 'Common Quail', 'Common Quail']",['Bird']
8,AADGMXRE,train,"2,68,102","[('Great Egret', 'Keeping still'), ('Great Egret', 'Sensing'), ('Great Egret', 'Attending')]","['Great Egret', 'Great Egret', 'Great Egret']",['Bird']
9,AADMQVEI,train,"68,123,102","[('Anas Platyrhynchos Bird', 'Keeping still'), ('Tachybaptus Ruficollis Bird', 'Sensing'), ('Anas Platyrhynchos Bird', 'Swimming'), ('Tachybaptus Ruficollis Bird', 'Keeping still')]","['Anas Platyrhynchos Bird', 'Tachybaptus Ruficollis Bird', 'Anas Platyrhynchos Bird', 'Tachybaptus Ruficollis Bird']",['Bird']
10,AADQRMVW,train,"58,104,102,2,128,10,118,68,78","[('Beetle', 'Moving'), ('Eurasian Wren Bird', 'Turning Around'), ('Eurasian Wren Bird', 'Shaking Head'), ('Eurasian Wren Bird', 'Chirping'), ('Eurasian Wren Bird', 'Sensing'), ('Eurasian Wren Bird', 'Startled'), ('Eurasian Wren Bird', 'Keeping still'), ('Eurasian Wren Bird', 'Attending'), ('Eurasian Wren Bird', 'Calling'), ('Eurasian Wren Bird', 'Preening')]","['Beetle', 'Eurasian Wren Bird', 'Eurasian Wren Bird', 'Eurasian Wren Bird', 'Eurasian Wren Bird', 'Eurasian Wren Bird', 'Eurasian Wren Bird', 'Eurasian Wren Bird', 'Eurasian Wren Bird', 'Eurasian Wren Bird']","['Bird', 'Insect']"
11,AAFWRPDI,train,123,"[('Fish', 'Swimming')]",['Fish'],['Fish']
12,AAGIUVEI,train,"40,133,52,90","[('Calidris Minuta Bird', 'Walking'), ('Egret', 'Eating'), ('Bird', 'Flying'), ('Bird', 'Eating'), ('Calidris Minuta Bird', 'Preening'), ('Egret', 'Preening'), ('Egret', 'Flying')]","['Calidris Minuta Bird', 'Egret', 'Bird', 'Bird', 'Calidris Minuta Bird', 'Egret', 'Egret']",['Bird']
13,AAGLKRME,train,1,"[('Metlapilcoatlus Mexicanus Jumping Pit Viper', 'Attacking')]",['Metlapilcoatlus Mexicanus Jumping Pit Viper'],['Reptile']
14,AAGOCDAL,train,"68,1","[('Grey Heron', 'Keeping still'), ('Grey Heron', 'Attacking')]","['Grey Heron', 'Grey Heron']",['Bird']
15,AAIHFPKK,train,"38,104,67,68,133","[('Black-Winged Stilt', 'Jumping'), ('Black-Winged Stilt', 'Walking'), ('Black-Winged Stilt', 'Keeping still'), ('Black-Winged Stilt', 'Drinking')]","['Black-Winged Stilt', 'Black-Winged Stilt', 'Black-Winged Stilt', 'Black-Winged Stilt']",['Bird']
16,AAIQZYMI,train,52,"[('Hoverfly', 'Flying')]",['Hoverfly'],['Insect']
17,AAITVVEI,train,"114,104,40,90","[('Tringa Glareola Bird', 'Eating'), ('Tringa Glareola Bird', 'Preening'), ('Tringa Glareola Bird', 'Spreading Wings'), ('Tringa Glareola Bird', 'Shaking Head')]","['Tringa Glareola Bird', 'Tringa Glareola Bird', 'Tringa Glareola Bird', 'Tringa Glareola Bird']",['Bird']
18,AAJNFNXN,train,123,"[('Fish', 'Swimming'), ('Orca', 'Swimming')]","['Fish', 'Orca']",['Fish']
19,AAJPLFXO,train,"104,48,102,135","[('Tit Bird', 'Washing'), ('Tit Bird', 'Flapping'), ('Tit Bird', 'Shaking Head'), ('Tit Bird', 'Sensing')]","['Tit Bird', 'Tit Bird', 'Tit Bird', 'Tit Bird']",['Bird']
20,AAKLZWUH,train,"114,90","[('Bird', 'Spreading Wings'), ('Bird', 'Preening')]","['Bird', 'Bird']",['Bird']
21,AAKRUPTK,train,"2,15","[('Singing Nightingale', 'Attending'), ('Singing Nightingale', 'Chirping')]","['Singing Nightingale', 'Singing Nightingale']",['Bird']
22,AALMTJBD,train,102,"[('Grasshopper Warbler', 'Sensing')]",['Grasshopper Warbler'],['Bird']
23,AAMPDDSN,train,52,"[('Hawk', 'Flying')]",['Hawk'],['Bird']
24,AAMTKWMK,train,68,"[('Horned Adder', 'Keeping still')]",['Horned Adder'],['Reptile']
25,AAMXFEOD,train,"69,133","[('Common Snipe', 'Walking'), ('Common Snipe', 'Landing')]","['Common Snipe', 'Common Snipe']",['Bird']
26,AANITSEB,train,"2,15","[('Common Rosefinch Bird', 'Attending'), ('Common Rosefinch Bird', 'Chirping')]","['Common Rosefinch Bird', 'Common Rosefinch Bird']",['Bird']
27,AANKBEOD,train,2,"[('Common Snipe', 'Attending')]",['Common Snipe'],['Bird']
28,AANKCVEI,train,"104,102,135,90,2,128,15,68,40,133","[('Tringa Nebularia Bird', 'Walking'), ('Tringa Nebularia Bird', 'Preening'), ('Tringa Nebularia Bird', 'Washing'), ('Tringa Nebularia Bird', 'Shaking Head'), ('Tringa Nebularia Bird', 'Eating'), ('Tringa Nebularia Bird', 'Turning Around'), ('Tringa Nebularia Bird', 'Attending'), ('Tringa Nebularia Bird', 'Chirping'), ('Tringa Nebularia Bird', 'Sensing'), ('Tringa Nebularia Bird', 'Keeping still')]","['Tringa Nebularia Bird', 'Tringa Nebularia Bird', 'Tringa Nebularia Bird', 'Tringa Nebularia Bird', 'Tringa Nebularia Bird', 'Tringa Nebularia Bird', 'Tringa Nebularia Bird', 'Tringa Nebularia Bird', 'Tringa Nebularia Bird', 'Tringa Nebularia Bird']",['Bird']
29,AANVVUPH,train,102,"[('Alpine Newt', 'Sensing')]",['Alpine Newt'],['Amphibian']
30,AANYAVEI,train,90,"[('Anas Platyrhynchos Bird', 'Preening')]",['Anas Platyrhynchos Bird'],['Bird']
31,AAOAJKBS,train,100,"[('Frilled Neck Lizard', 'Running')]",['Frilled Neck Lizard'],['Reptile']
32,AAOYRUDX,train,133,"[('Elephant', 'Walking')]",['Elephant'],['Mammal']
33,AAOZGQFB,train,"68,78,65","[('California Newt', 'Moving'), ('California Newt', 'Keeping still'), ('California Newt', 'Hugging')]","['California Newt', 'California Newt', 'California Newt']",['Amphibian']
34,AAPREPTK,train,"68,102,15","[('Singing Nightingale', 'Keeping still'), ('Singing Nightingale', 'Chirping'), ('Singing Nightingale', 'Sensing')]","['Singing Nightingale', 'Singing Nightingale', 'Singing Nightingale']",['Bird']
35,AAQAJFNJ,train,133,"[('Iguana', 'Walking')]",['Iguana'],['Reptile']
36,AAQPAHFB,train,102,"[('Hazel Grouse Bird', 'Sensing')]",['Hazel Grouse Bird'],['Bird']
37,AARMFPTK,train,"102,90,2,15,68","[('Singing Nightingale', 'Attending'), ('Singing Nightingale', 'Chirping'), ('Singing Nightingale', 'Sensing'), ('Singing Nightingale', 'Keeping still'), ('Singing Nightingale', 'Preening')]","['Singing Nightingale', 'Singing Nightingale', 'Singing Nightingale', 'Singing Nightingale', 'Singing Nightingale']",['Bird']
38,AARQKGQD,train,78,"[('Snake', 'Moving')]",['Snake'],['Reptile']
39,AASDYJTR,train,15,"[('Grass Warbler Bird', 'Chirping')]",['Grass Warbler Bird'],['Bird']
40,AASSQKOU,train,"105,102,110,133,69,15,40,67","[('Yellowhammer Young', 'Sleeping in its nest'), ('Yellowhammer', 'Eating'), ('Yellowhammer', 'Jumping'), ('Yellowhammer Young', 'Eating'), ('Yellowhammer', 'Sleeping in its nest'), ('Yellowhammer Young', 'Chirping'), ('Yellowhammer', 'Sensing'), ('Yellowhammer', 'Chirping'), ('Yellowhammer Young', 'Sensing'), ('Yellowhammer', 'Sharing Food'), ('Yellowhammer', 'Landing'), ('Yellowhammer', 'Walking')]","['Yellowhammer Young', 'Yellowhammer', 'Yellowhammer', 'Yellowhammer Young', 'Yellowhammer', 'Yellowhammer Young', 'Yellowhammer', 'Yellowhammer', 'Yellowhammer Young', 'Yellowhammer', 'Yellowhammer', 'Yellowhammer']",['Bird']
41,AATJYYTZ,train,"104,90,135","[('Greylag Goose', 'Shaking Head'), ('Greylag Goose', 'Washing')]","['Greylag Goose', 'Greylag Goose']",['Bird']
42,AATNWZAA,train,"123,102","[('Fish', 'Swimming'), ('Fish', 'Sensing')]","['Fish', 'Fish']",['Fish']
43,AAUQSVYU,train,133,"[('Leopard', 'Walking')]",['Leopard'],['Mammal']
44,AAUUFAMC,train,"139,74","[('Lion Young', 'Lying Down'), ('Lion', 'Yawning')]","['Lion Young', 'Lion']",['Mammal']
45,AAUVWMRN,train,"104,48,102,90,2,40,133","[('Mallard Duck', 'Shaking Head'), ('Common Snipe', 'Flapping'), ('Common Snipe', 'Preening'), ('Mallard Duck', 'Sensing'), ('Common Snipe', 'Eating'), ('Mallard Duck', 'Attending'), ('Common Snipe', 'Sensing'), ('Mallard Duck', 'Walking'), ('Mallard Duck', 'Flapping'), ('Common Snipe', 'Attending'), ('Mallard Duck', 'Preening'), ('Common Snipe', 'Walking')]","['Mallard Duck', 'Common Snipe', 'Common Snipe', 'Mallard Duck', 'Common Snipe', 'Mallard Duck', 'Common Snipe', 'Mallard Duck', 'Mallard Duck', 'Common Snipe', 'Mallard Duck', 'Common Snipe']",['Bird']
46,AAVNEICC,train,2,"[('Yellow-Eyed Ensatina', 'Attending')]",['Yellow-Eyed Ensatina'],['Amphibian']
47,AAVXGHCU,train,102,"[('Chaffinch Bird', 'Sensing')]",['Chaffinch Bird'],['Bird']
48,AAWJEBGU,train,"52,78","[('Honey Bee', 'Flying'), ('Honey Bee', 'Moving'), ('Blue Orchard Bee', 'Flying')]","['Honey Bee', 'Honey Bee', 'Blue Orchard Bee']",['Insect']
49,AAWXPNQN,train,15,"[('Whinchat Bird', 'Chirping')]",['Whinchat Bird'],['Bird']
50,AAXNMDCC,train,"68,102","[('Turtle Dove', 'Keeping still'), ('Turtle Dove', 'Sensing')]","['Turtle Dove', 'Turtle Dove']",['Bird']
51,AAXVMCGB,train,68,"[('Rain Frog', 'Keeping still')]",['Rain Frog'],['Amphibian']
52,AAYCBRHB,train,15,"[('Whinchat Bird', 'Chirping')]",['Whinchat Bird'],['Bird']
53,ABAHPDXI,train,"58,76","[('Moss Crab', 'Manipulating Object'), ('Moss Crab', 'Grooming')]","['Moss Crab', 'Moss Crab']",['Sea animal']
54,ABAJFAMC,train,"108,133,106,65","[('Lion Young', 'Hugging'), ('Lion Young', 'Sitting'), ('Lion Young', 'Walking')]","['Lion Young', 'Lion Young', 'Lion Young']",['Mammal']
55,ABATBLHH,train,68,"[('Water Lily Frog', 'Keeping still')]",['Water Lily Frog'],['Amphibian']
56,ABAVGVTI,train,"2,48,104","[('Smew', 'Shaking Head'), ('Smew', 'Flapping'), ('Smew', 'Attending')]","['Smew', 'Smew', 'Smew']",['Bird']
57,ABBOLTFT,train,"38,26,102,90,133,27","[('Flamingo', 'Walking'), ('Flamingo', 'Preening'), ('Flamingo', 'Disturbing Another Animal'), ('Flamingo', 'Drinking'), ('Flamingo', 'Displaying Defensive Pose'), ('Flamingo', 'Sensing')]","['Flamingo', 'Flamingo', 'Flamingo', 'Flamingo', 'Flamingo', 'Flamingo']",['Bird']
58,ABBTRZQJ,train,"41,1,51","[('Crab', 'Attacking'), ('Crab', 'Fleeing'), ('Crab', 'Entering its nest')]","['Crab', 'Crab', 'Crab']",['Sea animal']
59,ABCSJZQJ,train,68,"[('Bird', 'Keeping still')]",['Bird'],['Bird']
60,ABDGUIFB,train,"58,68,40","[('Pacman Frog', 'Grooming'), ('Pacman Frog', 'Eating'), ('Pacman Frog', 'Keeping still')]","['Pacman Frog', 'Pacman Frog', 'Pacman Frog']",['Amphibian']
61,ABDNTBQT,train,"40,78","[('Weaver Ant', 'Eating'), ('Weaver Ant', 'Moving')]","['Weaver Ant', 'Weaver Ant']",['Insect']
62,ABEQANQN,train,2,"[('European Robin Bird', 'Attending')]",['European Robin Bird'],['Bird']
63,ABFHKIQR,train,"133,102,39","[('Mongoose', 'Sensing'), ('Black Mamba', 'Dying'), ('Mongoose', 'Walking')]","['Mongoose', 'Black Mamba', 'Mongoose']","['Reptile', 'Mammal']"
64,ABFLNBQT,train,2,"[('Raffles Banded Langur', 'Attending')]",['Raffles Banded Langur'],['Mammal']
65,ABFNIQRD,train,78,"[('Jerusalam Cricket', 'Moving')]",['Jerusalam Cricket'],['Insect']
66,ABGHPMGJ,train,68,"[('Glass Frog', 'Keeping still')]",['Glass Frog'],['Amphibian']
67,ABHPPSOB,train,68,"[('Eastern Montpellier Snake', 'Keeping still')]",['Eastern Montpellier Snake'],['Reptile']
68,ABJYRLSQ,train,40,"[('Mistle Thrush', 'Eating')]",['Mistle Thrush'],['Bird']
69,ABKBWVMW,train,68,"[('Russell''s Viper', 'Keeping still')]",['['],['Reptile']
70,ABKSHVEI,train,2,"[('Motacilla Flava', 'Attending')]",['Motacilla Flava'],['Bird']
