video_path,action,species,parent_class
video\AAOYRUDX.mp4,Walking,Elephant,Mammal
video\AAUQSVYU.mp4,Walking,Leopard,Mammal
video\ABFLNBQT.mp4,Attending,Raffles Banded Langur,Mammal
video\ABNMGXGD.mp4,Eating,Horse,Mammal
video\ADAACXGD.mp4,Running,Horse,Mammal
video\ADPMWRAC.mp4,Sensing,Jaguarundi Cat,Mammal
video\AEHRLGCS.mp4,Walking,Giraffe,Mammal
video\AELXQBME.mp4,Running,Horse,Mammal
video\AEQVOUDX.mp4,Walking,Elephant,Mammal
video\AEZTBKEW.mp4,Keeping still,Rabbit,Mammal
video\AFIQFBQT.mp4,Keeping still,Bat,Mammal
video\AFLPRFGA.mp4,Running,Wild Dog,Mammal
video\AGELRXDO.mp4,Walking,Tiger,Mammal
video\AHAEZVYU.mp4,Walking,Leopard,Mammal
video\AHCNIRAC.mp4,Running,White Nosed Coati,Mammal
video\AIEPABQT.mp4,Jumping,Raffles Banded Langur,Mammal
video\AITARXDO.mp4,Walking,Zebra,Mammal
video\AJCINFGA.mp4,Walking,Caribou,Mammal
video\AJGHONSU.mp4,Walking,Hyena,Mammal
video\AJWSYUDX.mp4,Running,Cheetah,Mammal
video\AKCLZBQT.mp4,Eating,Otter,Mammal
video\AKERJNSU.mp4,Sensing,Hyena,Mammal
video\AKXVOXGD.mp4,Eating,Horse,Mammal
video\AMCTZTHG.mp4,Jumping,Lesser Spot Nosed Monkey,Mammal
video\AMDKPEQQ.mp4,Sensing,Sloth,Mammal
video\AMVCDFGA.mp4,Walking,Polar Bear,Mammal
video\AMZSRXGD.mp4,Running,Horse,Mammal
video\ANVGYRAC.mp4,Running,White Nosed Coati,Mammal
video\ANVSTEUL.mp4,Keeping still,African Wild Boar,Mammal
video\AOBXIFGA.mp4,Walking,Polar Bear,Mammal
video\AOZWOKEW.mp4,Running,Pika,Mammal
video\APDAFUPH.mp4,Eating,Chamois Goat Antelope,Mammal
video\AQMNPCEI.mp4,Eating,Chimpanzee,Mammal
video\AQXRTRAC.mp4,Walking,White Nosed Coati,Mammal
video\ARELNVYU.mp4,Walking,Leopard,Mammal
video\ARXXWUDX.mp4,Walking,Elephant,Mammal
video\ATKVVFFP.mp4,Running,Otter,Mammal
video\ATMATAMC.mp4,Walking,Lion,Mammal
video\ATRFLUDX.mp4,Walking,Cheetah,Mammal
video\AUHJYBQT.mp4,Walking,Pangolin,Mammal
video\AVDZYRAC.mp4,Jumping,Red-Blacked Squirrel Monkey,Mammal
video\AXMSEBQT.mp4,Eating,Plantain Squirrel,Mammal
video\AXQNBRAC.mp4,Walking,Tamandua,Mammal
video\AXRCVHGA.mp4,Attending,Meerkat,Mammal
video\AXZDBXGD.mp4,Running,Horse,Mammal
video\AYJBKXGD.mp4,Running,Horse,Mammal
video\AZFKGBQT.mp4,Keeping still,Raffles Banded Langur,Mammal
video\AZJDCNBD.mp4,Keeping still,Sambar Deer,Mammal
video\AZKGTXGD.mp4,Eating,Kangaroo,Mammal
video\AZNCEFGA.mp4,Walking,Wolf,Mammal
video\BAAOFDFC.mp4,Walking,Cow,Mammal
video\BAOEEXDO.mp4,Walking,Tiger,Mammal
video\BCNECXGD.mp4,Sensing,Horse,Mammal
video\BCRMLRAC.mp4,Walking,Jaguarundi Cat,Mammal
video\BDJKOTCN.mp4,Eating,Horse Young,Mammal
video\BDPCQXGD.mp4,Eating,Horse,Mammal
video\BDRBLXGD.mp4,Sensing,Horse,Mammal
video\BDZOOUDX.mp4,Running,Cheetah,Mammal
video\BEQEFNPL.mp4,Jumping,Squirrel,Mammal
video\BERFBXGD.mp4,Running,Horse,Mammal
video\BERIIXGD.mp4,Running,Horse,Mammal
video\BFLIAVMS.mp4,Eating,Greater Mouse Deer,Mammal
video\BFRBZXGD.mp4,Running,Horse,Mammal
video\BGDXIHGA.mp4,Attending,Coati,Mammal
video\BGWLXICI.mp4,Walking,Cheetah,Mammal
video\BHIXVIMN.mp4,Walking,Sumatran Hog Badger,Mammal
video\BHSJGBQT.mp4,Eating,Plantain Squirrel,Mammal
video\BHYFNSMJ.mp4,Walking,Marshbuck,Mammal
video\BKHMIBQT.mp4,Eating,Raffles Banded Langur,Mammal
video\BKZSLUDX.mp4,Walking,African Oryx,Mammal
video\BKZWMUDX.mp4,Walking,Elephant,Mammal
video\BLUEYBQT.mp4,Jumping,Raffles Banded Langur,Mammal
video\BLWNMRAC.mp4,Walking,Jaguarundi Cat,Mammal
video\BLXHYXGD.mp4,Running,Horse,Mammal
video\BMBRTUDX.mp4,Running,Cheetah,Mammal
video\BMLXIQCN.mp4,Jumping,Ibex,Mammal
video\BRAOUNSU.mp4,Sensing,Hyena,Mammal
video\BRFICAMC.mp4,Walking,Lion,Mammal
video\BSVBMVMS.mp4,Eating,Boar,Mammal
video\BTCQJCNX.mp4,Eating,Wolf,Mammal
video\BTVKSBQT.mp4,Eating,Raffles Banded Langur,Mammal
video\BUISCDSN.mp4,Running,Desert Fox,Mammal
video\BUKNBBQT.mp4,Eating,Plantain Squirrel,Mammal
video\BVGMYKEW.mp4,Jumping,Stoat,Mammal
video\BVWLMXGD.mp4,Walking,Horse,Mammal
