video_path,action,species,parent_class
video/animalkingdom/AAOYRUDX.mp4,Walking,Elephant,Mammal
video/animalkingdom/AAUQSVYU.mp4,Walking,Leopard,Mammal
video/animalkingdom/ABFLNBQT.mp4,Attending,Raffles Banded Langur,Mammal
video/animalkingdom/ABNMGXGD.mp4,Eating,Horse,Mammal
video/animalkingdom/ADAACXGD.mp4,Running,Horse,Mammal
video/animalkingdom/ADPMWRAC.mp4,Sensing,Jaguarundi Cat,Mammal
video/animalkingdom/AEHRLGCS.mp4,Walking,Giraffe,Mammal
video/animalkingdom/AELXQBME.mp4,Running,Horse,Mammal
video/animalkingdom/AEQVOUDX.mp4,Walking,Elephant,Mammal
video/animalkingdom/AEZTBKEW.mp4,Keeping still,Rabbit,Mammal
video/animalkingdom/AFIQFBQT.mp4,Keeping still,Bat,Mammal
video/animalkingdom/AFLPRFGA.mp4,Running,Wild Dog,Mammal
video/animalkingdom/AGELRXDO.mp4,Walking,Tiger,Mammal
video/animalkingdom/AHAEZVYU.mp4,Walking,Leopard,Mammal
video/animalkingdom/AHCNIRAC.mp4,Running,White Nosed Coati,Mammal
video/animalkingdom/AIEPABQT.mp4,Jumping,Raffles Banded Langur,Mammal
video/animalkingdom/AITARXDO.mp4,Walking,Zebra,Mammal
video/animalkingdom/AJCINFGA.mp4,Walking,Caribou,Mammal
video/animalkingdom/AJGHONSU.mp4,Walking,Hyena,Mammal
video/animalkingdom/AJWSYUDX.mp4,Running,Cheetah,Mammal
video/animalkingdom/AKCLZBQT.mp4,Eating,Otter,Mammal
video/animalkingdom/AKERJNSU.mp4,Sensing,Hyena,Mammal
video/animalkingdom/AKXVOXGD.mp4,Eating,Horse,Mammal
video/animalkingdom/AMCTZTHG.mp4,Jumping,Lesser Spot Nosed Monkey,Mammal
video/animalkingdom/AMDKPEQQ.mp4,Sensing,Sloth,Mammal
video/animalkingdom/AMVCDFGA.mp4,Walking,Polar Bear,Mammal
video/animalkingdom/AMZSRXGD.mp4,Running,Horse,Mammal
video/animalkingdom/ANVGYRAC.mp4,Running,White Nosed Coati,Mammal
video/animalkingdom/ANVSTEUL.mp4,Keeping still,African Wild Boar,Mammal
video/animalkingdom/AOBXIFGA.mp4,Walking,Polar Bear,Mammal
video/animalkingdom/AOZWOKEW.mp4,Running,Pika,Mammal
video/animalkingdom/APDAFUPH.mp4,Eating,Chamois Goat Antelope,Mammal
video/animalkingdom/AQMNPCEI.mp4,Eating,Chimpanzee,Mammal
video/animalkingdom/AQXRTRAC.mp4,Walking,White Nosed Coati,Mammal
video/animalkingdom/ARELNVYU.mp4,Walking,Leopard,Mammal
video/animalkingdom/ARXXWUDX.mp4,Walking,Elephant,Mammal
video/animalkingdom/ATKVVFFP.mp4,Running,Otter,Mammal
video/animalkingdom/ATMATAMC.mp4,Walking,Lion,Mammal
video/animalkingdom/ATRFLUDX.mp4,Walking,Cheetah,Mammal
video/animalkingdom/AUHJYBQT.mp4,Walking,Pangolin,Mammal
video/animalkingdom/AVDZYRAC.mp4,Jumping,Red-Blacked Squirrel Monkey,Mammal
video/animalkingdom/AXMSEBQT.mp4,Eating,Plantain Squirrel,Mammal
video/animalkingdom/AXQNBRAC.mp4,Walking,Tamandua,Mammal
video/animalkingdom/AXRCVHGA.mp4,Attending,Meerkat,Mammal
video/animalkingdom/AXZDBXGD.mp4,Running,Horse,Mammal
video/animalkingdom/AYJBKXGD.mp4,Running,Horse,Mammal
video/animalkingdom/AZFKGBQT.mp4,Keeping still,Raffles Banded Langur,Mammal
video/animalkingdom/AZJDCNBD.mp4,Keeping still,Sambar Deer,Mammal
video/animalkingdom/AZKGTXGD.mp4,Eating,Kangaroo,Mammal
video/animalkingdom/AZNCEFGA.mp4,Walking,Wolf,Mammal
video/animalkingdom/BAAOFDFC.mp4,Walking,Cow,Mammal
video/animalkingdom/BAOEEXDO.mp4,Walking,Tiger,Mammal
video/animalkingdom/BCNECXGD.mp4,Sensing,Horse,Mammal
video/animalkingdom/BCRMLRAC.mp4,Walking,Jaguarundi Cat,Mammal
video/animalkingdom/BDJKOTCN.mp4,Eating,Horse Young,Mammal
video/animalkingdom/BDPCQXGD.mp4,Eating,Horse,Mammal
video/animalkingdom/BDRBLXGD.mp4,Sensing,Horse,Mammal
video/animalkingdom/BDZOOUDX.mp4,Running,Cheetah,Mammal
video/animalkingdom/BEQEFNPL.mp4,Jumping,Squirrel,Mammal
video/animalkingdom/BERFBXGD.mp4,Running,Horse,Mammal
video/animalkingdom/BERIIXGD.mp4,Running,Horse,Mammal
video/animalkingdom/BFLIAVMS.mp4,Eating,Greater Mouse Deer,Mammal
video/animalkingdom/BFRBZXGD.mp4,Running,Horse,Mammal
video/animalkingdom/BGDXIHGA.mp4,Attending,Coati,Mammal
video/animalkingdom/BGWLXICI.mp4,Walking,Cheetah,Mammal
video/animalkingdom/BHIXVIMN.mp4,Walking,Sumatran Hog Badger,Mammal
video/animalkingdom/BHSJGBQT.mp4,Eating,Plantain Squirrel,Mammal
video/animalkingdom/BHYFNSMJ.mp4,Walking,Marshbuck,Mammal
video/animalkingdom/BKHMIBQT.mp4,Eating,Raffles Banded Langur,Mammal
video/animalkingdom/BKZSLUDX.mp4,Walking,African Oryx,Mammal
video/animalkingdom/BKZWMUDX.mp4,Walking,Elephant,Mammal
video/animalkingdom/BLUEYBQT.mp4,Jumping,Raffles Banded Langur,Mammal
video/animalkingdom/BLWNMRAC.mp4,Walking,Jaguarundi Cat,Mammal
video/animalkingdom/BLXHYXGD.mp4,Running,Horse,Mammal
video/animalkingdom/BMBRTUDX.mp4,Running,Cheetah,Mammal
video/animalkingdom/BMLXIQCN.mp4,Jumping,Ibex,Mammal
video/animalkingdom/BRAOUNSU.mp4,Sensing,Hyena,Mammal
video/animalkingdom/BRFICAMC.mp4,Walking,Lion,Mammal
video/animalkingdom/BSVBMVMS.mp4,Eating,Boar,Mammal
video/animalkingdom/BTCQJCNX.mp4,Eating,Wolf,Mammal
video/animalkingdom/BTVKSBQT.mp4,Eating,Raffles Banded Langur,Mammal
video/animalkingdom/BUISCDSN.mp4,Running,Desert Fox,Mammal
video/animalkingdom/BUKNBBQT.mp4,Eating,Plantain Squirrel,Mammal
video/animalkingdom/BVGMYKEW.mp4,Jumping,Stoat,Mammal
video/animalkingdom/BVWLMXGD.mp4,Walking,Horse,Mammal
video/animalkingdom/BWCJIRAC.mp4,Walking,Tamandua,Mammal
video/animalkingdom/BWLFAFGA.mp4,Walking,Wolf,Mammal
video/animalkingdom/BWPFNMYV.mp4,Keeping still,Mountain Gorilla,Mammal
video/animalkingdom/BXBRADSN.mp4,Walking,Cheetah,Mammal
video/animalkingdom/BXBXBUDX.mp4,Walking,Cheetah,Mammal
video/animalkingdom/BYPZMFGA.mp4,Keeping still,Wildebeest,Mammal
video/animalkingdom/BZFOLEZZ.mp4,Attending,Jackal,Mammal
video/animalkingdom/BZWVJNSU.mp4,Running,Hyena,Mammal
video/animalkingdom/CABQECNX.mp4,Walking,Wolf,Mammal
video/animalkingdom/CAZKQXGD.mp4,Running,Horse,Mammal
video/animalkingdom/CAZTCEBY.mp4,Sensing,Fox,Mammal
video/animalkingdom/CBPNVFGA.mp4,Walking,Wildebeest,Mammal
video/animalkingdom/CCKWWDSN.mp4,Walking,Markhor Goat,Mammal
video/animalkingdom/CDHUDUDX.mp4,Walking,Cheetah,Mammal
video/animalkingdom/CEBOCNPL.mp4,Eating,Squirrel,Mammal
video/animalkingdom/CEIKSPIF.mp4,Attending,Grizzly Bear,Mammal
video/animalkingdom/CEMIIXGD.mp4,Walking,Horse,Mammal
