video_path,action,species,parent_class
./video/animalkingdom_augmented/AAOYRUDX_aug0.mp4,Walking,Elephant,Mammal
./video/animalkingdom_augmented/AAOYRUDX_aug1.mp4,Walking,Elephant,Mammal
./video/animalkingdom_augmented/AAOYRUDX_aug2.mp4,Walking,Elephant,Mammal
./video/animalkingdom_augmented/AAUQSVYU_aug0.mp4,Walking,Leopard,Mammal
./video/animalkingdom_augmented/AAUQSVYU_aug1.mp4,Walking,Leopard,Mammal
./video/animalkingdom_augmented/AAUQSVYU_aug2.mp4,Walking,Leopard,Mammal
./video/animalkingdom_augmented/ABFLNBQT_aug0.mp4,Attending,Raffles Banded Langur,Mammal
./video/animalkingdom_augmented/ABFLNBQT_aug1.mp4,Attending,Raffles Banded Langur,Mammal
./video/animalkingdom_augmented/ABFLNBQT_aug2.mp4,Attending,Raffles Banded Langur,Mammal
./video/animalkingdom_augmented/ABNMGXGD_aug0.mp4,Eating,Horse,Mammal
./video/animalkingdom_augmented/ABNMGXGD_aug1.mp4,Eating,Horse,Mammal
./video/animalkingdom_augmented/ABNMGXGD_aug2.mp4,Eating,Horse,Mammal
./video/animalkingdom_augmented/ADAACXGD_aug0.mp4,Running,Horse,Mammal
./video/animalkingdom_augmented/ADAACXGD_aug1.mp4,Running,Horse,Mammal
./video/animalkingdom_augmented/ADAACXGD_aug2.mp4,Running,Horse,Mammal
./video/animalkingdom_augmented/ADPMWRAC_aug0.mp4,Sensing,Jaguarundi Cat,Mammal
./video/animalkingdom_augmented/ADPMWRAC_aug1.mp4,Sensing,Jaguarundi Cat,Mammal
./video/animalkingdom_augmented/ADPMWRAC_aug2.mp4,Sensing,Jaguarundi Cat,Mammal
./video/animalkingdom_augmented/AEHRLGCS_aug0.mp4,Walking,Giraffe,Mammal
./video/animalkingdom_augmented/AEHRLGCS_aug1.mp4,Walking,Giraffe,Mammal
./video/animalkingdom_augmented/AEHRLGCS_aug2.mp4,Walking,Giraffe,Mammal
./video/animalkingdom_augmented/AELXQBME_aug0.mp4,Running,Horse,Mammal
./video/animalkingdom_augmented/AELXQBME_aug1.mp4,Running,Horse,Mammal
./video/animalkingdom_augmented/AELXQBME_aug2.mp4,Running,Horse,Mammal
./video/animalkingdom_augmented/AEQVOUDX_aug0.mp4,Walking,Elephant,Mammal
./video/animalkingdom_augmented/AEQVOUDX_aug1.mp4,Walking,Elephant,Mammal
./video/animalkingdom_augmented/AEQVOUDX_aug2.mp4,Walking,Elephant,Mammal
./video/animalkingdom_augmented/AEZTBKEW_aug0.mp4,Keeping still,Rabbit,Mammal
./video/animalkingdom_augmented/AEZTBKEW_aug1.mp4,Keeping still,Rabbit,Mammal
./video/animalkingdom_augmented/AEZTBKEW_aug2.mp4,Keeping still,Rabbit,Mammal
./video/animalkingdom_augmented/AFIQFBQT_aug0.mp4,Keeping still,Bat,Mammal
./video/animalkingdom_augmented/AFIQFBQT_aug1.mp4,Keeping still,Bat,Mammal
./video/animalkingdom_augmented/AFIQFBQT_aug2.mp4,Keeping still,Bat,Mammal
./video/animalkingdom_augmented/AFLPRFGA_aug0.mp4,Running,Wild Dog,Mammal
./video/animalkingdom_augmented/AFLPRFGA_aug1.mp4,Running,Wild Dog,Mammal
./video/animalkingdom_augmented/AFLPRFGA_aug2.mp4,Running,Wild Dog,Mammal
./video/animalkingdom_augmented/AGELRXDO_aug0.mp4,Walking,Tiger,Mammal
./video/animalkingdom_augmented/AGELRXDO_aug1.mp4,Walking,Tiger,Mammal
./video/animalkingdom_augmented/AGELRXDO_aug2.mp4,Walking,Tiger,Mammal
./video/animalkingdom_augmented/AHAEZVYU_aug0.mp4,Walking,Leopard,Mammal
./video/animalkingdom_augmented/AHAEZVYU_aug1.mp4,Walking,Leopard,Mammal
./video/animalkingdom_augmented/AHAEZVYU_aug2.mp4,Walking,Leopard,Mammal
./video/animalkingdom_augmented/AHCNIRAC_aug0.mp4,Running,White Nosed Coati,Mammal
./video/animalkingdom_augmented/AHCNIRAC_aug1.mp4,Running,White Nosed Coati,Mammal
./video/animalkingdom_augmented/AHCNIRAC_aug2.mp4,Running,White Nosed Coati,Mammal
./video/animalkingdom_augmented/AIEPABQT_aug0.mp4,Jumping,Raffles Banded Langur,Mammal
./video/animalkingdom_augmented/AIEPABQT_aug1.mp4,Jumping,Raffles Banded Langur,Mammal
./video/animalkingdom_augmented/AIEPABQT_aug2.mp4,Jumping,Raffles Banded Langur,Mammal
./video/animalkingdom_augmented/AITARXDO_aug0.mp4,Walking,Zebra,Mammal
./video/animalkingdom_augmented/AITARXDO_aug1.mp4,Walking,Zebra,Mammal
./video/animalkingdom_augmented/AITARXDO_aug2.mp4,Walking,Zebra,Mammal
./video/animalkingdom_augmented/AJCINFGA_aug0.mp4,Walking,Caribou,Mammal
./video/animalkingdom_augmented/AJCINFGA_aug1.mp4,Walking,Caribou,Mammal
./video/animalkingdom_augmented/AJCINFGA_aug2.mp4,Walking,Caribou,Mammal
./video/animalkingdom_augmented/AJGHONSU_aug0.mp4,Walking,Hyena,Mammal
./video/animalkingdom_augmented/AJGHONSU_aug1.mp4,Walking,Hyena,Mammal
./video/animalkingdom_augmented/AJGHONSU_aug2.mp4,Walking,Hyena,Mammal
./video/animalkingdom_augmented/AJWSYUDX_aug0.mp4,Running,Cheetah,Mammal
./video/animalkingdom_augmented/AJWSYUDX_aug1.mp4,Running,Cheetah,Mammal
./video/animalkingdom_augmented/AJWSYUDX_aug2.mp4,Running,Cheetah,Mammal
./video/animalkingdom_augmented/AKCLZBQT_aug0.mp4,Eating,Otter,Mammal
./video/animalkingdom_augmented/AKCLZBQT_aug1.mp4,Eating,Otter,Mammal
./video/animalkingdom_augmented/AKCLZBQT_aug2.mp4,Eating,Otter,Mammal
./video/animalkingdom_augmented/AKERJNSU_aug0.mp4,Sensing,Hyena,Mammal
./video/animalkingdom_augmented/AKERJNSU_aug1.mp4,Sensing,Hyena,Mammal
./video/animalkingdom_augmented/AKERJNSU_aug2.mp4,Sensing,Hyena,Mammal
./video/animalkingdom_augmented/AKXVOXGD_aug0.mp4,Eating,Horse,Mammal
./video/animalkingdom_augmented/AKXVOXGD_aug1.mp4,Eating,Horse,Mammal
./video/animalkingdom_augmented/AKXVOXGD_aug2.mp4,Eating,Horse,Mammal
./video/animalkingdom_augmented/AMCTZTHG_aug0.mp4,Jumping,Lesser Spot Nosed Monkey,Mammal
./video/animalkingdom_augmented/AMCTZTHG_aug1.mp4,Jumping,Lesser Spot Nosed Monkey,Mammal
./video/animalkingdom_augmented/AMCTZTHG_aug2.mp4,Jumping,Lesser Spot Nosed Monkey,Mammal
./video/animalkingdom_augmented/AMDKPEQQ_aug0.mp4,Sensing,Sloth,Mammal
./video/animalkingdom_augmented/AMDKPEQQ_aug1.mp4,Sensing,Sloth,Mammal
./video/animalkingdom_augmented/AMDKPEQQ_aug2.mp4,Sensing,Sloth,Mammal
./video/animalkingdom_augmented/AMVCDFGA_aug0.mp4,Walking,Polar Bear,Mammal
./video/animalkingdom_augmented/AMVCDFGA_aug1.mp4,Walking,Polar Bear,Mammal
