video_path,action,species,parent_class
./video/animalkingdom/PFKNCBQT.mp4,Eating,Plantain Squirrel,Mammal
./video/animalkingdom/VBAPLFFP.mp4,Climbing,Maroon Macaque,Mammal
./video/animalkingdom/NWLFHRAC.mp4,Walking,Ocelot,Mammal
./video/animalkingdom/NFFWWRAC.mp4,Sensing,Capuchin Monkey,Mammal
./video/animalkingdom/UIXKNTEK.mp4,Walking,Malayan Tapir,Mammal
./video/animalkingdom/ENLEURAC.mp4,Walking,Agouti,Mammal
./video/animalkingdom/DGUKDBQT.mp4,Eating,Lesser Mousedeer,Mammal
./video/animalkingdom/JGSCKIMN.mp4,Exploring,Yellow-Throated Martens,Mammal
./video/animalkingdom/BYFDLEZZ.mp4,Walking,Civet Cat,Mammal
./video/animalkingdom/PWJTIFGA.mp4,Running,Wild Dog,Mammal
./video/animalkingdom/QVDBKUDX.mp4,Sensing,Ibex,Mammal
./video/animalkingdom/XXHVQBQT.mp4,Jumping,Raffles Banded Langur,Mammal
./video/animalkingdom/OJJFUVMP.mp4,Walking,Coyote,Mammal
./video/animalkingdom/DLTMKBQT.mp4,Jumping,Plantain Squirrel,Mammal
./video/animalkingdom/XATQFKEW.mp4,Running,Pika,Mammal
./video/animalkingdom/WDDLCXGD.mp4,Eating,Kangaroo,Mammal
./video/animalkingdom/TQZLNKEW.mp4,Eating,Giraffe,Mammal
./video/animalkingdom/USRNZDSN.mp4,Walking,Desert Fox,Mammal
./video/animalkingdom/LSKSGHGA.mp4,Keeping still,Coati,Mammal
./video/animalkingdom/BLUEYBQT.mp4,Jumping,Raffles Banded Langur,Mammal
./video/animalkingdom/CHRNUAMC.mp4,Sensing,Lion,Mammal
./video/animalkingdom/DAWAFGCS.mp4,Keeping still,Lion,Mammal
./video/animalkingdom/LBKQRVYU.mp4,Sensing,Leopard,Mammal
./video/animalkingdom/MQNEXXGD.mp4,Eating,Horse,Mammal
./video/animalkingdom/HHDLXDPR.mp4,Sensing,Coyote,Mammal
./video/animalkingdom/JMVZOTEK.mp4,Sensing,Red-Ruffed Lemur,Mammal
./video/animalkingdom/DOTINFGA.mp4,Walking,Caribou,Mammal
./video/animalkingdom/ZEJKKDSN.mp4,Sensing,Jaculus Jaculus,Mammal
./video/animalkingdom/NTWBIDSN.mp4,Walking,Desert Fox,Mammal
./video/animalkingdom/XBYOARLL.mp4,Sensing,Southern Grasshopper Mouse,Mammal
./video/animalkingdom/ECVCYXGD.mp4,Running,Horse,Mammal
./video/animalkingdom/IXHKTAMC.mp4,Walking,Lion Young,Mammal
./video/animalkingdom/APDAFUPH.mp4,Eating,Chamois Goat Antelope,Mammal
./video/animalkingdom/KPHGKGCS.mp4,Walking,Giraffe,Mammal
./video/animalkingdom/MXNJHUDX.mp4,Walking,Leopard,Mammal
./video/animalkingdom/JQJDZUXS.mp4,Eating,Zebra,Mammal
