video_path,action,species,parent_class
video\animalkingdom\AAOYRUDX.mp4,Walking,Elephant,mammal
video\animalkingdom\AAUQSVYU.mp4,Walking,Leopard,mammal
video\animalkingdom\ABFLNBQT.mp4,Attending,Raffles Banded Langur,mammal
video\animalkingdom\ABNMGXGD.mp4,Eating,Horse,mammal
video\animalkingdom\ADAACXGD.mp4,Running,Horse,mammal
video\animalkingdom\ADPMWRAC.mp4,Sensing,Jaguarundi Cat,mammal
video\animalkingdom\AEHRLGCS.mp4,Walking,Giraffe,mammal
video\animalkingdom\AELXQBME.mp4,Running,Horse,mammal
video\animalkingdom\AEQVOUDX.mp4,Walking,Elephant,mammal
video\animalkingdom\AEZTBKEW.mp4,Keeping still,Rabbit,mammal
video\animalkingdom\AFIQFBQT.mp4,Keeping still,Bat,mammal
video\animalkingdom\AFLPRFGA.mp4,Running,Wild Dog,mammal
video\animalkingdom\AGELRXDO.mp4,Walking,Tiger,mammal
video\animalkingdom\AHAEZVYU.mp4,Walking,Leopard,mammal
video\animalkingdom\AHCNIRAC.mp4,Running,White Nosed Coati,mammal
video\animalkingdom\AIEPABQT.mp4,Jumping,Raffles Banded Langur,mammal
video\animalkingdom\AITARXDO.mp4,Walking,Zebra,mammal
video\animalkingdom\AJCINFGA.mp4,Walking,Caribou,mammal
video\animalkingdom\AJGHONSU.mp4,Walking,Hyena,mammal
video\animalkingdom\AJWSYUDX.mp4,Running,Cheetah,mammal
video\animalkingdom\AKCLZBQT.mp4,Eating,Otter,mammal
video\animalkingdom\AKERJNSU.mp4,Sensing,Hyena,mammal
video\animalkingdom\AKXVOXGD.mp4,Eating,Horse,mammal
video\animalkingdom\AMCTZTHG.mp4,Jumping,Lesser Spot Nosed Monkey,mammal
video\animalkingdom\AMDKPEQQ.mp4,Sensing,Sloth,mammal
video\animalkingdom\AMVCDFGA.mp4,Walking,Polar Bear,mammal
video\animalkingdom\AMZSRXGD.mp4,Running,Horse,mammal
video\animalkingdom\ANVGYRAC.mp4,Running,White Nosed Coati,mammal
video\animalkingdom\ANVSTEUL.mp4,Keeping still,African Wild Boar,mammal
video\animalkingdom\AOBXIFGA.mp4,Walking,Polar Bear,mammal
video\animalkingdom\AOZWOKEW.mp4,Running,Pika,mammal
video\animalkingdom\APDAFUPH.mp4,Eating,Chamois Goat Antelope,mammal
video\animalkingdom\AQMNPCEI.mp4,Eating,Chimpanzee,mammal
video\animalkingdom\AQXRTRAC.mp4,Walking,White Nosed Coati,mammal
video\animalkingdom\ARELNVYU.mp4,Walking,Leopard,mammal
video\animalkingdom\ARXXWUDX.mp4,Walking,Elephant,mammal
video\animalkingdom\ATKVVFFP.mp4,Running,Otter,mammal
video\animalkingdom\ATMATAMC.mp4,Walking,Lion,mammal
video\animalkingdom\ATRFLUDX.mp4,Walking,Cheetah,mammal
video\animalkingdom\AUHJYBQT.mp4,Walking,Pangolin,mammal
video\animalkingdom\AVDZYRAC.mp4,Jumping,Red-Blacked Squirrel Monkey,mammal
video\animalkingdom\AXMSEBQT.mp4,Eating,Plantain Squirrel,mammal
video\animalkingdom\AXQNBRAC.mp4,Walking,Tamandua,mammal
video\animalkingdom\AXRCVHGA.mp4,Attending,Meerkat,mammal
video\animalkingdom\AXZDBXGD.mp4,Running,Horse,mammal
video\animalkingdom\AYJBKXGD.mp4,Running,Horse,mammal
video\animalkingdom\AZFKGBQT.mp4,Keeping still,Raffles Banded Langur,mammal
video\animalkingdom\AZJDCNBD.mp4,Keeping still,Sambar Deer,mammal
video\animalkingdom\AZKGTXGD.mp4,Eating,Kangaroo,mammal
video\animalkingdom\BAAOFDFC.mp4,Walking,Cow,mammal
video\animalkingdom\BAOEEXDO.mp4,Walking,Tiger,mammal
video\animalkingdom\BCNECXGD.mp4,Sensing,Horse,mammal
video\animalkingdom\BCRMLRAC.mp4,Walking,Jaguarundi Cat,mammal
video\animalkingdom\BDJKOTCN.mp4,Eating,Horse Young,mammal
video\animalkingdom\BDPCQXGD.mp4,Eating,Horse,mammal
video\animalkingdom\BDRBLXGD.mp4,Sensing,Horse,mammal
video\animalkingdom\BDZOOUDX.mp4,Running,Cheetah,mammal
video\animalkingdom\BEQEFNPL.mp4,Jumping,Squirrel,mammal
video\animalkingdom\BERFBXGD.mp4,Running,Horse,mammal
video\animalkingdom\BERIIXGD.mp4,Running,Horse,mammal
video\animalkingdom\BFLIAVMS.mp4,Eating,Greater Mouse Deer,mammal
video\animalkingdom\BFRBZXGD.mp4,Running,Horse,mammal
video\animalkingdom\BGDXIHGA.mp4,Attending,Coati,mammal
video\animalkingdom\BGWLXICI.mp4,Walking,Cheetah,mammal
video\animalkingdom\BHIXVIMN.mp4,Walking,Sumatran Hog Badger,mammal
video\animalkingdom\BHSJGBQT.mp4,Eating,Plantain Squirrel,mammal
video\animalkingdom\BHYFNSMJ.mp4,Walking,Marshbuck,mammal
video\animalkingdom\BKHMIBQT.mp4,Eating,Raffles Banded Langur,mammal
video\animalkingdom\BKZSLUDX.mp4,Walking,African Oryx,mammal
video\animalkingdom\BKZWMUDX.mp4,Walking,Elephant,mammal
video\animalkingdom\BLUEYBQT.mp4,Jumping,Raffles Banded Langur,mammal
video\animalkingdom\BLWNMRAC.mp4,Walking,Jaguarundi Cat,mammal
video\animalkingdom\BLXHYXGD.mp4,Running,Horse,mammal
video\animalkingdom\BMBRTUDX.mp4,Running,Cheetah,mammal
video\animalkingdom\BMLXIQCN.mp4,Jumping,Ibex,mammal
video\animalkingdom\BRAOUNSU.mp4,Sensing,Hyena,mammal
video\animalkingdom\BRFICAMC.mp4,Walking,Lion,mammal
video\animalkingdom\BSVBMVMS.mp4,Eating,Boar,mammal
video\animalkingdom\BTVKSBQT.mp4,Eating,Raffles Banded Langur,mammal
video\animalkingdom\BUISCDSN.mp4,Running,Desert Fox,mammal
video\animalkingdom\BUKNBBQT.mp4,Eating,Plantain Squirrel,mammal
video\animalkingdom\BVGMYKEW.mp4,Jumping,Stoat,mammal
video\animalkingdom\BVWLMXGD.mp4,Walking,Horse,mammal
video\animalkingdom\BWCJIRAC.mp4,Walking,Tamandua,mammal
video\animalkingdom\BWPFNMYV.mp4,Keeping still,Mountain Gorilla,mammal
video\animalkingdom\BXBRADSN.mp4,Walking,Cheetah,mammal
video\animalkingdom\BXBXBUDX.mp4,Walking,Cheetah,mammal
video\animalkingdom\BYPZMFGA.mp4,Keeping still,Wildebeest,mammal
video\animalkingdom\BZFOLEZZ.mp4,Attending,Jackal,mammal
video\animalkingdom\BZWVJNSU.mp4,Running,Hyena,mammal
video\animalkingdom\CAZKQXGD.mp4,Running,Horse,mammal
video\animalkingdom\CAZTCEBY.mp4,Sensing,Fox,mammal
video\animalkingdom\CBPNVFGA.mp4,Walking,Wildebeest,mammal
video\animalkingdom\CCKWWDSN.mp4,Walking,Markhor Goat,mammal
video\animalkingdom\CDHUDUDX.mp4,Walking,Cheetah,mammal
video\animalkingdom\CEBOCNPL.mp4,Eating,Squirrel,mammal
video\animalkingdom\CEIKSPIF.mp4,Attending,Grizzly Bear,mammal
video\animalkingdom\CEMIIXGD.mp4,Walking,Horse,mammal
video\animalkingdom\CGBRGVYU.mp4,Sensing,Leopard,mammal
video\animalkingdom\CGIQFVMP.mp4,Walking,Moose,mammal
video\animalkingdom\CGYOREBY.mp4,Eating,Fox,mammal
video\animalkingdom\CHRNUAMC.mp4,Sensing,Lion,mammal
video\animalkingdom\CITKIRAC.mp4,Walking,Capuchin Monkey,mammal
video\animalkingdom\CIWHUXGD.mp4,Eating,Horse,mammal
video\animalkingdom\CJJNTNPL.mp4,Eating,Squirrel,mammal
