video_path,action,species
Abseiling\Portia Jumping Spider\JRUBVVRM1.mp4,Abseiling,Portia Jumping Spider
Abseiling\Portia Jumping Spider\MFAKSVRM2.mp4,Abseiling,Portia Jumping Spider
Abseiling\Portia Jumping Spider\RHUFLVRM0.mp4,Abseiling,Portia Jumping Spider
Abseiling\Western Widow Spider\QYMWLOOZ0.mp4,Abseiling,Western Widow Spider
Attacking\Ant\AVTZQCJH0.mp4,Attacking,Ant
Attacking\Ant\RQZHICJH0.mp4,Attacking,Ant
Attacking\Ant\WBABLCJH1.mp4,Attacking,Ant
Attacking\Ant\YVTIRCEI1.mp4,Attacking,Ant
Attacking\Aphidius Ervi Parasitoid Wasp\FPKEVJYD1.mp4,Attacking,Aphidius Ervi Parasitoid Wasp
Attacking\Aphidius Ervi Parasitoid Wasp\HZCGKJYD1.mp4,Attacking,Aphidius Ervi Parasitoid Wasp
Attacking\Aphidius Ervi Parasitoid Wasp\QDMHCJYD0.mp4,Attacking,Aphidius Ervi Parasitoid Wasp
Attacking\Aphidius Ervi Parasitoid Wasp\UBKBQJYD1.mp4,Attacking,Aphidius Ervi Parasitoid Wasp
Attacking\Araneus Diadematus Spider\QSQQXACP1.mp4,Attacking,Araneus Diadematus Spider
Attacking\Araneus Diadematus Spider\VLUPOACP2.mp4,Attacking,Araneus Diadematus Spider
Attacking\Araneus Diadematus Spider\ZSVWJACP1.mp4,Attacking,Araneus Diadematus Spider
Attacking\Ardea Alba Egret\FVJCQPLS0.mp4,Attacking,Ardea Alba Egret
Attacking\Ardea Alba Egret\LTBLVPLS2.mp4,Attacking,Ardea Alba Egret
Attacking\Ardea Alba Egret\XIVMUPLS3.mp4,Attacking,Ardea Alba Egret
Attacking\Ardea Alba Egret\YCQAKPLS0.mp4,Attacking,Ardea Alba Egret
Attacking\Arizona Bark Scorpion\GYXNWRLL0.mp4,Attacking,Arizona Bark Scorpion
Attacking\Arizona Bark Scorpion\QGLNMRLL0.mp4,Attacking,Arizona Bark Scorpion
Attacking\Arizona Bark Scorpion\RHOKQRLL2.mp4,Attacking,Arizona Bark Scorpion
Attacking\Arizona Bark Scorpion\UULRLRLL4.mp4,Attacking,Arizona Bark Scorpion
Attacking\Atheris Nitschei Viper\LVRTDMYV0.mp4,Attacking,Atheris Nitschei Viper
Attacking\Atheris Nitschei Viper\RPAOOMYV0.mp4,Attacking,Atheris Nitschei Viper
Attacking\Atheris Nitschei Viper\ZQQXLMYV0.mp4,Attacking,Atheris Nitschei Viper
Attacking\Atheris Squamigera\BUFANMYV0.mp4,Attacking,Atheris Squamigera
Attacking\Atheris Squamigera\FWDTRMYV0.mp4,Attacking,Atheris Squamigera
Attacking\Atheris Squamigera\GCAVDMYV0.mp4,Attacking,Atheris Squamigera
Attacking\Atheris Squamigera\KQFXQMYV0.mp4,Attacking,Atheris Squamigera
Attacking\Atheris Squamigera\TYXNFMYV0.mp4,Attacking,Atheris Squamigera
Attacking\Atheris Squamigera\WPSNTMYV0.mp4,Attacking,Atheris Squamigera
Attacking\Bee\LDFKUGJU1.mp4,Attacking,Bee
Attacking\Bird\ACCPNSBA3.mp4,Attacking,Bird
Attacking\Bird\ANNANSBA5.mp4,Attacking,Bird
Attacking\Bird\CBCRLZQJ1.mp4,Attacking,Bird
Attacking\Bird\CIJQYSBA2.mp4,Attacking,Bird
Attacking\Bird\EJSHGREH1.mp4,Attacking,Bird
Attacking\Bird\GLBMMSBA3.mp4,Attacking,Bird
Attacking\Bird\ITTWRSBA5.mp4,Attacking,Bird
Attacking\Bird\KVPLGSBA5.mp4,Attacking,Bird
Attacking\Bird\LDFFJSBA5.mp4,Attacking,Bird
Attacking\Bird\LNSOVSBA5.mp4,Attacking,Bird
Attacking\Bird\MIGPISBA4.mp4,Attacking,Bird
Attacking\Bird\NHHULSBA5.mp4,Attacking,Bird
Attacking\Bird\OMTCNSBA5.mp4,Attacking,Bird
Attacking\Bird\RRKYASBA4.mp4,Attacking,Bird
Attacking\Bird\RSMIZSBA5.mp4,Attacking,Bird
Attacking\Bird\TLZDYREH1.mp4,Attacking,Bird
Attacking\Bird\TVVXXSBA5.mp4,Attacking,Bird
Attacking\Bird\TXCWKFGA1.mp4,Attacking,Bird
Attacking\Bird\TXOFDSBA5.mp4,Attacking,Bird
Attacking\Bird\VEVTZSBA5.mp4,Attacking,Bird
Attacking\Bird\WHCSASBA3.mp4,Attacking,Bird
Attacking\Bird\WZEZBSBA5.mp4,Attacking,Bird
Attacking\Bird\YJLRMSBA2.mp4,Attacking,Bird
Attacking\Black Mamba\ADRQOIQR5.mp4,Attacking,Black Mamba
Attacking\Black Mamba\ADWTXIQR7.mp4,Attacking,Black Mamba
Attacking\Black Mamba\AFBVPIQR7.mp4,Attacking,Black Mamba
Attacking\Black Mamba\AJNJRIQR8.mp4,Attacking,Black Mamba
Attacking\Black Mamba\ALZAYIQR4.mp4,Attacking,Black Mamba
Attacking\Black Mamba\ARCKIIQR1.mp4,Attacking,Black Mamba
Attacking\Black Mamba\AVBBXIQR5.mp4,Attacking,Black Mamba
Attacking\Black Mamba\BHVLKIQR2.mp4,Attacking,Black Mamba
Attacking\Black Mamba\BJQPDIQR4.mp4,Attacking,Black Mamba
Attacking\Black Mamba\BJZWZIQR3.mp4,Attacking,Black Mamba
Attacking\Black Mamba\BNSVGIQR2.mp4,Attacking,Black Mamba
Attacking\Black Mamba\BTKQWIQR3.mp4,Attacking,Black Mamba
Attacking\Black Mamba\CNJRRIQR6.mp4,Attacking,Black Mamba
Attacking\Black Mamba\CSRSIIQR5.mp4,Attacking,Black Mamba
Attacking\Black Mamba\CTWAJIQR9.mp4,Attacking,Black Mamba
Attacking\Black Mamba\CWWOOIQR7.mp4,Attacking,Black Mamba
Attacking\Black Mamba\DICXKIQR9.mp4,Attacking,Black Mamba
Attacking\Black Mamba\DQBFIIQR6.mp4,Attacking,Black Mamba
Attacking\Black Mamba\EFTMFIQR1.mp4,Attacking,Black Mamba
Attacking\Black Mamba\FABZDIQR3.mp4,Attacking,Black Mamba
Attacking\Black Mamba\FBDNTIQR8.mp4,Attacking,Black Mamba
Attacking\Black Mamba\FFTRGIQR5.mp4,Attacking,Black Mamba
Attacking\Black Mamba\FMIKUIQR1.mp4,Attacking,Black Mamba
Attacking\Black Mamba\FSKANIQR6.mp4,Attacking,Black Mamba
Attacking\Black Mamba\FVKKQIQR8.mp4,Attacking,Black Mamba
Attacking\Black Mamba\GAVTHIQR3.mp4,Attacking,Black Mamba
Attacking\Black Mamba\GJPCTIQR4.mp4,Attacking,Black Mamba
Attacking\Black Mamba\GUHDJIQR5.mp4,Attacking,Black Mamba
Attacking\Black Mamba\GVDSXIQR9.mp4,Attacking,Black Mamba
Attacking\Black Mamba\HBMUOIQR6.mp4,Attacking,Black Mamba
Attacking\Black Mamba\HCLZPIQR10.mp4,Attacking,Black Mamba
Attacking\Black Mamba\HJSXAIQR5.mp4,Attacking,Black Mamba
Attacking\Black Mamba\HLINMIQR2.mp4,Attacking,Black Mamba
Attacking\Black Mamba\HNVKYIQR4.mp4,Attacking,Black Mamba
Attacking\Black Mamba\HNZEBIQR4.mp4,Attacking,Black Mamba
Attacking\Black Mamba\HOCSCIQR2.mp4,Attacking,Black Mamba
Attacking\Black Mamba\HQAPPIQR3.mp4,Attacking,Black Mamba
Attacking\Black Mamba\HSCDPIQR5.mp4,Attacking,Black Mamba
Attacking\Black Mamba\HUWTRIQR5.mp4,Attacking,Black Mamba
Attacking\Black Mamba\IFCGSIQR4.mp4,Attacking,Black Mamba
Attacking\Black Mamba\IQAXTIQR3.mp4,Attacking,Black Mamba
Attacking\Black Mamba\IQVBQIQR1.mp4,Attacking,Black Mamba
Attacking\Black Mamba\IVIVYIQR3.mp4,Attacking,Black Mamba
Attacking\Black Mamba\IWAMPIQR3.mp4,Attacking,Black Mamba
Attacking\Black Mamba\IXIDPIQR9.mp4,Attacking,Black Mamba
Attacking\Black Mamba\IZHUCIQR3.mp4,Attacking,Black Mamba
Attacking\Black Mamba\JZIQDIQR3.mp4,Attacking,Black Mamba
Attacking\Black Mamba\KAFJUIQR5.mp4,Attacking,Black Mamba
Attacking\Black Mamba\KGGNRIQR6.mp4,Attacking,Black Mamba
Attacking\Black Mamba\KMXTSIQR2.mp4,Attacking,Black Mamba
Attacking\Black Mamba\LNXIKIQR3.mp4,Attacking,Black Mamba
Attacking\Black Mamba\LSPEPIQR2.mp4,Attacking,Black Mamba
Attacking\Black Mamba\LZCVRIQR3.mp4,Attacking,Black Mamba
Attacking\Black Mamba\MLIIXIQR7.mp4,Attacking,Black Mamba
Attacking\Black Mamba\MQJFUIQR3.mp4,Attacking,Black Mamba
Attacking\Black Mamba\NKVLEIQR3.mp4,Attacking,Black Mamba
Attacking\Black Mamba\NSQCXIQR4.mp4,Attacking,Black Mamba
Attacking\Black Mamba\NZADAIQR6.mp4,Attacking,Black Mamba
Attacking\Black Mamba\NZXOCIQR1.mp4,Attacking,Black Mamba
Attacking\Black Mamba\OMYEJIQR4.mp4,Attacking,Black Mamba
Attacking\Black Mamba\ONCMAIQR3.mp4,Attacking,Black Mamba
Attacking\Black Mamba\OPSXIIQR2.mp4,Attacking,Black Mamba
Attacking\Black Mamba\ORDXBIQR5.mp4,Attacking,Black Mamba
Attacking\Black Mamba\OXVEUIQR4.mp4,Attacking,Black Mamba
Attacking\Black Mamba\OXWZQIQR9.mp4,Attacking,Black Mamba
Attacking\Black Mamba\OYMAVIQR1.mp4,Attacking,Black Mamba
Attacking\Black Mamba\PCLTQIQR7.mp4,Attacking,Black Mamba
Attacking\Black Mamba\PMGJWIQR5.mp4,Attacking,Black Mamba
